Rank,Name,Age,TmFull,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,BC%,BCrk,Total BC
390,Alec Burleson,24,St. Louis Cardinals,STL,107,347,315,34,77,20,1,8,36,3,1,23,45,0.244,0.300,0.390,0.691,87,123,13,3,1,2,0,0.3977,339,138
391,Andruw Monasterio,26,Milwaukee Brewers,MIL,92,315,282,38,73,14,1,3,27,7,2,28,66,0.259,0.330,0.348,0.678,87,98,9,3,0,2,0,0.3968,368,125
392,Brenton Doyle,25,Colorado Rockies,COL,126,431,399,48,81,16,5,10,48,22,5,22,151,0.203,0.250,0.343,0.593,52,137,9,4,3,3,0,0.3968,381,171
393,Elvis Andrus,34,Chicago White Sox,CHW,112,406,374,39,94,20,1,6,44,12,4,25,71,0.251,0.304,0.358,0.662,81,134,11,4,1,2,1,0.3966,373,161
394,Alex Call,28,Washington Nationals,WSN,128,439,375,43,75,14,1,8,38,9,8,53,78,0.200,0.307,0.307,0.614,72,115,1,6,3,2,0,0.3964,424,174
395,Ji Hwan Bae,23,Pittsburgh Pirates,PIT,111,371,334,54,77,17,2,2,32,24,9,30,92,0.231,0.296,0.311,0.608,67,104,4,2,3,2,0,0.3962,395,147
396,Luis Urías,26,Toronto Blue Jays,TOT,52,177,144,18,28,6,0,3,18,0,0,21,41,0.194,0.337,0.299,0.636,76,43,4,10,0,0,0,0.3955,457,70
397,Liover Peguero,22,Pittsburgh Pirates,PIT,59,213,198,21,47,4,1,7,26,6,2,11,67,0.237,0.280,0.374,0.653,77,74,6,1,2,1,0,0.3944,361,84
398,Jonathan Davis,31,Miami Marlins,MIA,34,104,90,22,22,4,1,2,10,1,2,7,29,0.244,0.307,0.378,0.685,85,34,1,2,2,2,0,0.3942,425,41
399,Jake Cave,30,Philadelphia Phillies,PHI,65,203,184,18,39,8,1,5,21,3,0,15,55,0.212,0.272,0.348,0.620,69,64,3,1,1,2,0,0.3941,391,80
400,James McCann,33,Baltimore Orioles,BAL,69,226,207,25,46,14,0,6,26,3,1,9,57,0.222,0.269,0.377,0.646,79,78,5,5,3,2,0,0.3938,410,89
401,Yu Chang,27,Boston Red Sox,BOS,39,112,105,12,17,2,0,6,18,4,0,3,34,0.162,0.200,0.352,0.552,45,37,2,2,2,0,0,0.3929,413,44
402,Alan Trejo,27,Colorado Rockies,COL,82,227,207,24,48,11,0,4,26,5,1,16,51,0.232,0.288,0.343,0.631,63,71,3,1,1,2,0,0.3921,397,89
403,Tucupita Marcano,23,Pittsburgh Pirates,PIT,75,220,202,16,47,12,2,3,18,5,2,10,35,0.233,0.276,0.356,0.633,72,72,2,3,3,2,0,0.3909,421,86
404,Nicky Lopez,28,Toronto Blue Jays,TOT,93,262,225,32,52,8,3,1,25,6,2,26,40,0.231,0.326,0.307,0.632,75,69,3,6,4,1,0,0.3893,438,102
405,José Barrero,25,Cinncinnati Reds,CIN,46,149,133,15,29,8,0,2,17,3,2,15,44,0.218,0.295,0.323,0.619,67,43,1,0,0,1,0,0.3893,407,58
406,Yuli Gurriel,39,Miami Marlins,MIA,108,329,298,32,73,16,3,4,27,4,0,26,44,0.245,0.304,0.359,0.663,79,107,13,1,0,4,3,0.3891,341,128
407,Brice Turang,23,Milwaukee Brewers,MIL,137,448,404,46,88,9,3,6,34,26,4,38,94,0.218,0.285,0.300,0.585,62,121,9,1,3,2,1,0.3884,386,174
408,Tyler Nevin,26,Detroit Tigers,DET,41,111,95,11,19,3,1,2,10,0,1,12,25,0.200,0.306,0.316,0.622,72,30,1,3,0,1,0,0.3874,447,43
409,Trevor Story,30,Boston Red Sox,BOS,43,168,158,12,32,9,0,3,14,10,3,9,55,0.203,0.250,0.316,0.566,52,50,2,1,0,0,0,0.3869,412,65
