Rank,Name,Age,TmFull,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,BC%,BCrk,Total BC
153,Jarred Kelenic,23,Seattle Mariners,SEA,105,416,372,44,94,25,2,11,49,13,5,41,132,0.253,0.327,0.419,0.746,109,156,6,1,0,2,4,0.4904,142,204
154,Alex Bregman,29,Houston Astros,HOU,161,724,622,103,163,28,4,25,98,3,1,92,87,0.262,0.363,0.441,0.804,122,274,22,8,0,2,1,0.4903,123,355
155,Nick Castellanos,31,Philadelphia Phillies,PHI,157,671,626,79,170,37,2,29,106,11,2,36,185,0.272,0.311,0.476,0.788,112,298,17,3,0,6,0,0.4903,119,329
156,Cedric Mullins,28,Baltimore Orioles,BAL,116,455,404,51,94,23,3,15,74,19,3,43,101,0.233,0.305,0.416,0.721,101,168,6,1,3,4,1,0.4901,144,223
157,William Contreras,25,Milwaukee Brewers,MIL,141,611,540,86,156,38,1,17,78,6,1,63,126,0.289,0.367,0.457,0.825,125,247,23,5,1,2,2,0.4894,100,299
158,Gleyber Torres,26,New York Yankees,NYY,158,672,596,90,163,28,2,25,68,13,6,67,98,0.273,0.347,0.453,0.800,118,270,19,3,0,6,0,0.4881,117,328
159,Luis Arráez,26,Miami Marlins,MIA,147,617,574,71,203,30,3,10,69,3,2,35,34,0.354,0.393,0.469,0.861,133,269,18,4,1,3,10,0.4878,120,301
160,Stone Garrett,27,Washington Nationals,WSN,89,271,234,40,63,17,0,9,40,3,1,26,82,0.269,0.343,0.457,0.801,120,107,6,3,0,5,0,0.4871,157,132
161,Joc Pederson,31,San Francisco Giants,SFG,121,425,358,59,84,14,3,15,51,0,0,57,89,0.235,0.348,0.416,0.764,111,149,12,7,0,3,6,0.4871,155,207
162,Spencer Torkelson,23,Detroit Tigers,DET,159,684,606,88,141,34,1,31,94,3,0,67,171,0.233,0.313,0.446,0.758,105,270,15,6,0,5,1,0.4854,156,332
163,Bryson Stott,25,Philadelphia Phillies,PHI,151,640,585,78,164,32,2,15,62,31,3,39,100,0.280,0.329,0.419,0.747,104,245,10,7,1,8,1,0.4844,177,310
164,Josh Jung,25,Texas Rangers,TEX,122,515,478,75,127,25,1,23,70,1,3,30,151,0.266,0.315,0.467,0.781,109,223,7,5,0,2,0,0.4835,182,249
165,Carlos Santana,37,Pittsburgh Pirates,PIT,94,393,345,45,81,25,0,12,53,6,0,45,69,0.235,0.321,0.412,0.732,99,142,3,0,0,3,0,0.4835,169,190
166,Enmanuel Valdez,24,Boston Red Sox,BOS,49,149,139,17,37,8,0,6,19,5,1,8,37,0.266,0.311,0.453,0.764,103,63,4,1,0,0,0,0.4832,139,72
167,Billy McKinney,28,New York Yankees,NYY,48,147,128,19,29,3,1,6,14,1,0,17,39,0.227,0.320,0.406,0.726,98,52,1,1,0,1,1,0.4830,196,71
168,Xander Bogaerts,30,San Diego Padres,SDP,155,665,596,83,170,31,2,19,58,19,2,56,110,0.285,0.350,0.440,0.790,120,262,21,7,0,6,0,0.4827,138,321
169,Jordan Walker,21,St. Louis Cardinals,STL,117,465,420,51,116,19,2,16,51,7,4,37,104,0.276,0.342,0.445,0.787,114,187,9,6,0,2,0,0.4817,180,224
170,Raimel Tapia,29,Toronto Blue Jays,TOT,44,108,96,18,26,4,1,1,10,8,1,11,20,0.271,0.346,0.365,0.710,93,35,1,0,0,0,0,0.4815,171,52
171,Trevor Larnach,26,Minnesota Twins,MIN,58,212,183,26,39,7,3,8,40,1,1,27,72,0.213,0.311,0.415,0.727,98,76,2,0,0,2,1,0.4811,172,102
172,Alfonso Rivas,26,Pittsburgh Pirates,PIT,40,106,94,6,22,8,1,3,14,1,0,7,29,0.234,0.305,0.436,0.741,100,41,1,3,1,1,0,0.4811,239,51
173,Riley Adams,27,Washington Nationals,WSN,44,158,143,8,39,13,2,4,21,0,0,11,45,0.273,0.331,0.476,0.807,120,68,5,2,1,1,0,0.4810,153,76
174,Esteury Ruiz,24,Oakland Athletics,OAK,132,497,449,47,114,24,1,5,47,67,13,20,99,0.254,0.309,0.345,0.654,88,155,7,16,4,1,1,0.4809,236,239
175,Jesús Sánchez,25,Miami Marlins,MIA,125,402,360,43,91,23,3,14,52,3,1,38,107,0.253,0.327,0.450,0.777,108,162,12,2,1,1,1,0.4801,134,193
176,Vladimir Guerrero Jr.,24,Toronto Blue Jays,TOR,156,682,602,78,159,30,0,26,94,5,3,67,100,0.264,0.345,0.444,0.788,117,267,23,9,0,4,5,0.4795,146,327
177,Jacob Young,23,Washington Nationals,WSN,33,121,107,9,27,7,1,0,12,13,0,10,22,0.252,0.322,0.336,0.658,84,36,2,1,3,0,0,0.4793,181,58
178,Bo Bichette,25,Toronto Blue Jays,TOR,135,601,571,69,175,30,3,20,73,5,3,27,115,0.306,0.339,0.475,0.814,123,271,14,2,0,1,0,0.4792,154,288
179,Connor Joe,30,Pittsburgh Pirates,PIT,133,472,413,63,102,31,4,11,42,3,5,50,110,0.247,0.339,0.421,0.760,107,174,4,8,0,1,0,0.4788,222,226
180,Carlos Santana,37,Toronto Blue Jays,TOT,146,619,550,78,132,33,1,23,86,6,0,65,104,0.240,0.318,0.429,0.747,103,236,11,0,0,4,0,0.4782,161,296
181,Dansby Swanson,29,Chicago Cubs,CHC,147,638,565,81,138,25,3,22,80,9,1,66,154,0.244,0.328,0.416,0.744,99,235,9,5,0,2,0,0.4781,189,305
182,Randal Grichuk,31,Toronto Blue Jays,TOT,118,471,434,65,116,31,2,16,44,2,2,29,96,0.267,0.321,0.459,0.779,103,199,11,6,0,2,2,0.4777,179,225
183,Josh Rojas,29,Seattle Mariners,SEA,46,134,125,24,34,4,0,4,14,6,0,9,30,0.272,0.321,0.400,0.721,103,50,1,0,0,0,0,0.4776,186,64
184,Aaron Hicks,33,Toronto Blue Jays,TOT,93,312,269,44,68,9,1,8,36,6,0,42,69,0.253,0.353,0.383,0.735,106,103,3,0,0,1,1,0.4776,183,149
185,Harold Ramírez,28,Tampa Bay Rays,TBR,122,434,400,58,125,19,2,12,68,5,3,22,79,0.313,0.353,0.460,0.813,125,184,7,6,0,6,0,0.4770,205,207
186,Jonathan India,26,Cinncinnati Reds,CIN,119,529,454,78,111,23,0,17,61,14,2,52,109,0.244,0.338,0.407,0.746,100,185,13,16,0,7,0,0.4764,219,252
187,Mike Tauchman,32,Chicago Cubs,CHC,108,401,337,64,85,18,0,8,48,7,1,56,86,0.252,0.363,0.377,0.739,100,127,3,4,1,3,1,0.4763,214,191
188,Taylor Walls,26,Tampa Bay Rays,TBR,99,349,303,50,61,12,2,8,36,22,1,44,92,0.201,0.305,0.333,0.638,79,101,1,1,1,0,0,0.4756,209,166
189,Stuart Fairchild,27,Cinncinnati Reds,CIN,97,255,219,34,50,16,2,5,28,10,3,25,69,0.228,0.321,0.388,0.710,90,85,2,6,3,2,0,0.4745,250,121
190,Manny Machado,30,San Diego Padres,SDP,138,601,543,75,140,21,0,30,91,3,2,50,109,0.258,0.319,0.462,0.782,115,251,20,2,0,6,1,0.4742,137,285
191,Ezequiel Duran,24,Texas Rangers,TEX,122,439,406,55,112,22,2,14,46,8,4,23,120,0.276,0.324,0.443,0.768,106,180,7,7,1,2,1,0.4738,215,208
192,Mark Canha,34,Toronto Blue Jays,TOT,139,507,435,51,114,25,1,11,62,11,1,49,79,0.262,0.355,0.400,0.755,108,174,11,17,0,6,1,0.4734,243,240
193,Vinnie Pasquantino,25,Kansas City Royals,KCR,61,260,231,24,57,17,0,9,26,0,0,25,31,0.247,0.324,0.437,0.762,108,101,7,2,0,1,2,0.4731,166,123
194,Lourdes Gurriel Jr.,29,Arizona Diamondbacks,ARI,145,592,551,65,144,35,2,24,82,5,0,33,103,0.261,0.309,0.463,0.772,108,255,20,6,0,2,1,0.4730,160,280
195,Andrés Giménez,24,Cleveland Indians,CLE,153,616,557,76,140,27,5,15,62,30,6,32,112,0.251,0.314,0.399,0.712,98,222,10,20,4,3,3,0.4724,256,291
196,Alfonso Rivas,26,Toronto Blue Jays,TOT,48,123,109,8,25,10,1,3,15,1,0,9,36,0.229,0.303,0.422,0.725,97,46,1,3,1,1,0,0.4715,258,58
197,Luis Campusano,24,San Diego Padres,SDP,49,174,163,27,52,7,0,7,30,0,0,7,21,0.319,0.356,0.491,0.847,134,80,8,3,0,1,0,0.4713,151,82
198,Jake Rogers,28,Detroit Tigers,DET,107,365,331,47,73,11,0,21,49,1,1,28,118,0.221,0.286,0.444,0.730,96,147,6,3,1,2,0,0.4712,204,172
199,Nico Hoerner,26,Chicago Cubs,CHC,150,688,619,98,175,27,4,9,68,43,7,49,83,0.283,0.346,0.383,0.729,97,237,12,14,1,5,0,0.4709,227,324
200,Kevin Kiermaier,33,Toronto Blue Jays,TOR,129,408,370,58,98,21,6,8,36,14,1,29,86,0.265,0.322,0.419,0.741,104,155,9,4,1,4,0,0.4706,197,192
201,Teoscar Hernández,30,Seattle Mariners,SEA,160,678,625,70,161,29,2,26,93,7,2,38,211,0.258,0.305,0.435,0.741,106,272,6,8,0,7,2,0.4705,228,319
202,Daniel Vogelbach,30,New York Mets,NYM,104,319,275,33,64,8,0,13,48,0,0,42,81,0.233,0.339,0.404,0.742,104,111,6,2,0,0,1,0.4702,198,150
203,Ryan Mountcastle,26,Baltimore Orioles,BAL,115,470,423,64,114,21,1,18,68,3,1,37,107,0.270,0.328,0.452,0.779,117,191,13,3,0,7,1,0.4702,168,221
204,Austin Hays,27,Baltimore Orioles,BAL,144,566,520,76,143,36,2,16,67,5,1,38,141,0.275,0.325,0.444,0.769,114,231,11,3,0,5,1,0.4700,191,266
