,Name,Age,TmFull,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,BC%,BCrk,Total BC
51,Eloy Jiménez,25,Chicago White Sox,CHW,84,327,292,40,86,12,0,16,54,0,0,28,72,0.295,0.358,0.5,0.858,141,146,8,3,0,4,0,0.5168,51,169
52,Bryan Reynolds,27,Pittsburgh Pirates,PIT,145,614,542,74,142,19,4,27,62,7,3,56,141,0.262,0.345,0.461,0.807,127,250,13,14,0,2,6,0.5163,52,317
53,Willson Contreras,30,Chicago Cubs,CHC,113,487,416,65,101,23,2,22,55,4,2,45,103,0.243,0.349,0.466,0.815,126,194,14,24,0,2,0,0.5154,53,251
54,Brandon Drury,29,Toronto Blue Jays,TOT,138,568,518,87,136,31,2,28,87,2,3,38,126,0.263,0.32,0.492,0.813,123,255,8,8,0,4,0,0.5141,54,292
55,Vaughn Grissom,21,Atlanta Braves,ATL,41,156,141,24,41,6,0,5,18,5,2,11,34,0.291,0.353,0.44,0.792,119,62,0,3,0,1,1,0.5128,55,80
56,Christian Walker,31,Arizona Diamondbacks,ARI,160,667,583,84,141,25,2,36,94,2,2,69,131,0.242,0.327,0.477,0.804,125,278,15,8,0,7,2,0.5127,56,342
57,Will Smith,27,Los Angeles Dodgers,LAD,137,578,508,68,132,26,3,24,87,1,0,56,96,0.26,0.343,0.465,0.807,124,236,11,10,0,4,4,0.5121,57,296
58,Keston Hiura,25,Milwaukee Brewers,MIL,80,266,234,34,53,8,1,14,32,5,2,23,111,0.226,0.316,0.449,0.765,113,105,3,8,0,1,0,0.5113,58,136
59,Hunter Renfroe,30,Milwaukee Brewers,MIL,125,522,474,62,121,23,1,29,72,1,1,39,121,0.255,0.315,0.492,0.807,124,233,11,4,2,3,1,0.5096,59,266
60,Kolten Wong,31,Milwaukee Brewers,MIL,134,497,430,65,108,24,4,15,47,17,6,46,88,0.251,0.339,0.43,0.77,116,185,5,14,2,5,2,0.5091,60,253
61,Adolis García,29,Texas Rangers,TEX,156,657,605,88,151,34,5,27,101,25,6,40,183,0.25,0.3,0.456,0.756,112,276,9,6,0,6,2,0.5084,61,334
62,Gunnar Henderson,21,Baltimore Orioles,BAL,34,132,116,12,30,7,1,4,18,1,1,16,34,0.259,0.348,0.44,0.788,126,51,1,0,0,0,1,0.5076,62,67
